"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R53,R58,R73,R56,R55,R71,R57,R69,R54,R68,R72,R76,R49,R51,R74,R46,R75,R70,R44,R47,R63,R40,R45,R50,R52,R60,R66,R65,R62,R38,R64,R61,R67,R41,R59,R42";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";36;"R";;;
2;"C14,C33,C13,C12,C32,C31";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";6;"100 n";;;
3;"J17";"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal";1;"Limit-Switch y2";;;
4;"Q4,Q3,Q6,Q2,Q5,Q7";"SOT-23";6;"Q_NMOS_GDS";;;
5;"J2";"PhoenixContact_MC_1,5_6-G-3.81_1x06_P3.81mm_Horizontal";1;"Motordriver X";;;
6;"J19";"PhoenixContact_MC_1,5_5-G-3.5_1x05_P3.50mm_Horizontal";1;"Terminal_Encoder";;;
7;"J5";"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal";1;"Terminal_12V";;;
8;"D5,D2,D3,D1";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"blue";;;
9;"C25,C19,C20,C26,C21,C27,C17,C24,C23,C15,C18,C22";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";12;"C";;;
10;"R14,R15,R30,R23,R31,R22";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";6;"1k";;;
11;"J18";"PhoenixContact_MC_1,5_8-G-3.81_1x08_P3.81mm_Horizontal";1;"Terminal Buttons";;;
12;"C10,C5,C11";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"100n";;;
13;"J3";"PhoenixContact_MC_1,5_12-G-3.81_1x12_P3.81mm_Horizontal";1;"Erstaz_Terminal";;;
14;"R26,R35,R27,R18,R19,R34";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";6;"470 k";;;
15;"K3";"Relay_PR22";1;"PR22";;;
16;"D30,D14,D13,D24,D18,D17,D23,D9,D31,D10,D25,D29,D22,D6,D27,D21,D26,D19,D28";"D_SMA_Handsoldering";19;"5,1V";;;
17;"J16";"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal";1;"Limit-Switch x2";;;
18;"J10";"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal";1;"EmergencyStop";;;
19;"C36,C34,C35,C6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"10n";;;
20;"J9";"PhoenixContact_MC_1,5_6-G-3.81_1x06_P3.81mm_Horizontal";1;"Motordriver Z";;;
21;"R21,R28,R20,R29,R36,R37";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";6;"50k";;;
22;"U3,U4,U5";"SOIC-8_3.9x4.9mm_P1.27mm";3;"ACS715xLCTR-20A";;;
23;"R25,R24,R16,R17";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"150";;;
24;"J11";"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal";1;"Terminal Power";;;
